WARNING 2025-02-05 12:41:10,326 log Bad Request: /api/oauth/token
WARNING 2025-02-05 12:41:48,374 log Bad Request: /api/oauth/token
WARNING 2025-02-05 22:28:35,833 log Bad Request: /api/oauth/token/refresh
WARNING 2025-02-05 22:28:35,851 log Unauthorized: /api/users/auth
WARNING 2025-02-05 22:28:35,856 log Bad Request: /api/oauth/token/refresh
WARNING 2025-02-05 22:28:35,862 log Unauthorized: /api/users/auth
WARNING 2025-02-05 22:30:46,440 log Bad Request: /api/oauth/token/refresh
WARNING 2025-02-05 22:30:46,445 log Bad Request: /api/oauth/token/refresh
WARNING 2025-02-05 22:30:46,451 log Unauthorized: /api/users/auth
WARNING 2025-02-05 22:30:46,457 log Bad Request: /api/oauth/token/refresh
WARNING 2025-02-05 22:30:46,460 log Unauthorized: /api/users/auth
WARNING 2025-02-05 22:30:46,465 log Unauthorized: /api/users/auth
WARNING 2025-02-05 22:30:46,468 log Bad Request: /api/oauth/token/refresh
WARNING 2025-02-05 22:30:46,475 log Unauthorized: /api/users/auth
WARNING 2025-02-05 22:30:49,000 log Bad Request: /api/oauth/token
WARNING 2025-02-05 22:30:49,921 log Bad Request: /api/oauth/token
WARNING 2025-02-05 22:30:49,924 log Bad Request: /api/oauth/token/refresh
WARNING 2025-02-05 22:30:49,926 log Bad Request: /api/oauth/token/refresh
WARNING 2025-02-05 22:30:49,933 log Unauthorized: /api/users/auth
WARNING 2025-02-05 22:30:49,937 log Unauthorized: /api/users/auth
WARNING 2025-02-05 22:30:49,939 log Bad Request: /api/oauth/token/refresh
WARNING 2025-02-05 22:30:49,942 log Bad Request: /api/oauth/token/refresh
WARNING 2025-02-05 22:30:49,944 log Unauthorized: /api/users/auth
WARNING 2025-02-05 22:30:49,947 log Unauthorized: /api/users/auth
WARNING 2025-02-05 22:30:59,777 log Bad Request: /api/oauth/token/refresh
WARNING 2025-02-05 22:30:59,785 log Bad Request: /api/oauth/token/refresh
WARNING 2025-02-05 22:30:59,792 log Unauthorized: /api/users/auth
WARNING 2025-02-05 22:30:59,798 log Unauthorized: /api/users/auth
WARNING 2025-02-05 22:30:59,801 log Bad Request: /api/oauth/token/refresh
WARNING 2025-02-05 22:30:59,804 log Bad Request: /api/oauth/token/refresh
WARNING 2025-02-05 22:30:59,807 log Unauthorized: /api/users/auth
WARNING 2025-02-05 22:30:59,811 log Unauthorized: /api/users/auth
WARNING 2025-02-05 22:31:03,558 log Bad Request: /api/oauth/token
WARNING 2025-02-05 22:31:04,027 log Bad Request: /api/oauth/token
WARNING 2025-02-05 22:31:04,030 log Bad Request: /api/oauth/token/refresh
WARNING 2025-02-05 22:31:04,032 log Bad Request: /api/oauth/token/refresh
WARNING 2025-02-05 22:31:04,038 log Unauthorized: /api/users/auth
WARNING 2025-02-05 22:31:04,043 log Unauthorized: /api/users/auth
WARNING 2025-02-05 22:31:04,045 log Bad Request: /api/oauth/token/refresh
WARNING 2025-02-05 22:31:04,047 log Bad Request: /api/oauth/token/refresh
WARNING 2025-02-05 22:31:04,049 log Unauthorized: /api/users/auth
WARNING 2025-02-05 22:31:04,052 log Unauthorized: /api/users/auth
